Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
1494112553,JHN9768,NY,PAS,06/02/2025,40,SUBN,,P,26250,50320,31120,20250529,0040,40,40,926670,0040,0000,0315A,,BX,F,418,EAST 153 ST,,0,408,C,,BBBBBBB,ALL,ALL,BLK,0,2009,-,0,,,,,
1494953389,16061,99,TOW,06/02/2025,99,,,P,27720,73720,23800,20250228,0052,52,52,976663,0052,0000,0440A,,,F,410,E 203 STREET,,0,408,E2,,BBBBBBB,ALL,ALL,WH,0,2022,-,0,,,,,
1494953407,16061,NY,TOW,06/02/2025,14,,CHEVR,P,27720,73720,23800,20250228,0052,52,52,976663,0052,0000,0440A,,BX,F,410,E 203 STREET,,0,408,F1,,BBBBBBB,ALL,ALL,WHT,0,2022,-,0,,,,,
1495710828,KLE3093,NY,PAS,06/02/2025,21,SDN,LEXUS,P,55960,12550,12550,20250621,0045,45,45,972932,0045,0000,1227P,,BX,,1,ORCHARD BEACH RD,,0,408,K4,,BBBBBBB,ALL,ALL,GRY,0,2007,-,0,,,,,
1496085620,LGY3915,NY,PAS,06/02/2025,40,SDN,ME/BE,P,0,0,0,20251210,114,114,114,977310,0114,0000,0215A,,Q,F,,C/O 41 STREET,ASTORIA BLVD,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,2023,-,0,,,,,
1500540857,KMC2904,NY,PAS,06/02/2025,46,SDN,HONDA,P,8320,55520,77150,20250822,0049,49,49,979198,0049,0000,1117P,1117A,BX,F,692,ALLERTON AVE,,20250602,408,D,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1500540882,LNB3917,NY,PAS,06/03/2025,46,SDN,HONDA,P,55520,48020,8320,20260912,0049,49,49,979198,0049,0000,1240A,1240A,BX,F,2545,OLINVILLE AVE,,20250603,408,F1,,BBBBBBB,ALL,ALL,GRAY,0,0,-,0,,,,,
1473380777,CXR3912,99,PAS,06/04/2025,40,SDN,MAZDA,P,55530,45090,27505,0,122,122,122,174185,0122,0000,0607P,,R,F,344,WILSON AVE,,0,408,C,,BBBBBBB,ALL,ALL,TAN,0,2024,-,1,,,,,
1495740160,M46SRP,NJ,PAS,06/04/2025,14,SDN,FRUEH,P,67880,11410,32320,20240920,0050,50,50,975080,0050,0000,1025P,,BX,F,104,TERRACE VIEW,,0,408,C,,BBBBBBB,ALL,ALL,GY,0,0,-,0,,,,,
1494960242,3FM2222,MA,OMT,06/04/2025,51,SDN,HONDA,P,51820,40404,40404,20250930,0046,46,46,977006,0046,0000,0155A,0150A,BX,F,1850,MONTGOMERY AVE,,20250604,408,F1,,BBBBBBB,ALL,ALL,BW,0,0,-,0,,,,,
1494826343,AMED29,CO,PAS,06/05/2025,98,SUBN,BMW,P,16805,29337,43195,20250725,120,120,120,957343,0120,0000,0826A,,R,O,79,ARNOLD ST,,0,408,E2,,BBBBBBB,ALL,ALL,GRAY,0,2003,-,0,,,,,
1493015825,5EN5853,NY,PAS,06/05/2025,41,SDN,,P,6030,5280,5430,20240605,0073,73,78,970242,0078,0000,0525P,,K,O,192,9TH STREET,,0,408,,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1494958405,U65RNB,NJ,PAS,06/05/2025,98,VAN,FORD,P,74570,40404,40404,0,0046,46,46,956825,0046,0000,1026P,,,F,35,WEST 179 ST,,0,408,J5,,BBBBBBB,ALL,ALL,WH,0,2005,-,0,,,,,
1494572011,GXV1885,NY,PAS,06/06/2025,46,P-U,FORD,P,22140,19440,53790,20250614,102,102,102,976173,0102,0000,0255A,,,,102-26,134 ST,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1494841460,50048MC,NY,COM,06/06/2025,78,VAN,DODGE,P,46295,29105,27354,20240918,123,123,123,969659,0123,0000,0323A,,R,F,71,SANTA MONICA LANE,,0,408,K6,,BBBBBBB,0900P,0500A,WH,0,2017,-,0,,,,,
1495005367,66376MD,NY,COM,06/06/2025,78,VAN,FORD,P,15990,8190,57790,0,115,115,115,964080,0115,0000,0314A,,Q,F,32-41,76 ST,,0,408,E2,,BBBBBBB,ALL,ALL,RED,0,2012,-,0,,,,,
1490356435,27375,NY,PAS,06/07/2025,46,,,P,0,25390,0,20240531,0023,23,23,973754,0023,0000,0422P,,,F,,E 102,MADISON AVE,0,408,F1,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1493434676,T686670C,NY,PAS,06/07/2025,98,SDN,TOYOT,P,26390,56350,20790,20241130,105,105,105,975937,0105,0000,0615A,,Q,F,114-03,211 ST,,0,408,F2,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1493492550,KKT3921,NY,PAS,06/07/2025,20,SUBN,CADIL,K,30140,36290,61690,20250407,101,101,3,160301,0003,0000,0144P,,Q,F,125,BEACH 17 ST,,0,408,D,,BBBBBBB,ALL,ALL,TAN,0,2011,-,0,,,,,
1493774049,LDY4012,NY,PAS,06/07/2025,53,SUBN,BUICK,C,30430,12550,30370,20251107,0045,45,0,100374,CCPD,0000,0526P,,BX,F,120,ELGAR PLACE,,0,408,F1,,BBBBBBB,ALL,ALL,SILVE,0,2011,-,0,,,,,
1494026764,10227NB,NY,COM,06/07/2025,40,VAN,FCCC,P,20110,31830,19230,0,0084,84,84,959545,0084,0000,0405P,,K,F,122,BOERUM PL,,0,408,E2,,BBBBBBB,ALL,ALL,BR,0,2022,-,0,,,,,
1495196318,KJJ3417,NY,PAS,06/08/2025,14,SDN,BMW,P,34870,10810,10910,20251001,0018,18,18,971513,0018,0000,0545P,0540P,,F,305,W 55 ST,,20250608,408,C,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1500364964,681BE2,NY,PAS,06/08/2025,50,,,P,12040,35780,47290,20250430,104,104,104,962537,0104,0000,0638P,,Q,F,5939,58 AVE,,0,408,C3,,BBBBBBB,ALL,ALL,GY,0,2023,-,0,,,,,
1474682169,KZM6739,NY,PAS,06/09/2025,40,SUBN,ROVER,P,36730,10610,10810,20250810,0032,32,806,972840,0806,0000,0911A,0905A,NY,F,255,W 148 ST,,20240609,408,C3,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1491761386,MMR8907,99,PAS,06/09/2025,40,SUBN,INFIN,P,8830,5880,5980,20250531,0066,66,66,956844,0066,0000,1152A,,K,F,855,45 ST,,0,408,C,,BBBBBBB,ALL,ALL,,0,2015,-,0,,,,,
1494766498,KSX2530,NY,PAS,06/09/2025,14,SUBN,GMC,3,25645,13113,13113,20251103,0019,19,977,908606,0977,0000,1206P,,NY,F,405,MAIN ST,,0,408,D,,BBBBBBB,ALL,ALL,BK,0,2015,-,0,,,,,
1491517736,LSN8687,PA,PAS,06/10/2025,46,SUBN,ACURA,P,27790,19290,19310,0,0023,23,32,963502,0032,0000,0255P,,NY,O,1674,PARK AVE,,0,408,F1,,BBBBBBB,ALL,ALL,WHITE,0,0,-,0,,,,,
1489511891,25347TT,NY,TOW,06/10/2025,78,,HIN,P,72430,5780,5880,20250228,0072,72,72,971756,0072,0000,1025P,,K,F,395,PROSPECT AVE,,0,408,F2,,BBBBBBB,ALL,ALL,WHITE,0,2018,-,0,,,,,
1494815114,LFC2851,NY,OMT,06/10/2025,19,SDN,DODGE,P,45050,40602,31400,20251001,120,120,120,958871,0120,0000,1113A,,,F,75,RICHMOND TERR,,0,408,C3,,BBBBBBB,ALL,ALL,,0,0,-,0,,,,,
1494392689,5EJJ97,MA,PAS,06/11/2025,40,SUBN,BMW,P,35880,14880,88830,20250731,0061,61,61,967666,0061,0000,0639A,,K,F,2620,E 24,,0,408,E2,,BBBBBBB,ALL,ALL,BLK,0,0,-,0,,,,,
1494996480,JKY7601,NY,PAS,06/12/2025,40,SUBN,ACURA,P,19040,8790,8990,20251126,115,115,104,978316,0104,0000,1045P,1045P,Q,F,37-34,97TH STREET,,20250612,408,F2,,BBBBBBB,ALL,ALL,BLK,0,2023,-,0,,,,,
1495601742,6448X07,TX,PAS,06/12/2025,74,SUBN,NISSA,P,69230,83330,23230,0,0081,81,81,975701,0081,0000,0825A,,K,F,889,PARK AVE,,0,408,E3,,BBBBBBB,ALL,ALL,BLU,0,2005,-,0,,,,,
1488467444,BLANKPLATE,99,999,06/13/2025,74,VAN,CHRYS,P,9140,10740,10840,0,108,108,108,939457,0108,0000,0403A,,Q,F,49-20,39 AVENUE,,0,408,E3,,BBBBBBB,ALL,ALL,BLUE,0,2004,-,0,,,,,
1496552477,JMJ5436,NY,PAS,06/13/2025,14,SDN,SUBAR,P,13740,14240,38490,20260109,104,104,104,973093,0104,0000,0850A,,,F,68-38,65 ST,,0,408,F7,,BBBBBBB,ALL,ALL,BLK,0,2017,-,0,,,,,
1494958946,MHS9541,PA,PAS,06/13/2025,14,SUBN,JEEP,P,72720,17700,27120,20241201,0046,46,96,956825,0096,0000,1159P,,,F,2175,WALTON AVE,,0,408,F1,,BBBBBBB,ALL,ALL,BK,0,0,-,0,,,,,
1489585448,LJL5622,NY,OMS,06/14/2025,17,SDN,KIA,O,24390,24750,20890,20250930,0005,5,0,0,0000,0000,0130P,0130P,NY,F,60,LAFAYETTE ST,,0,408,D1,,YYYYYBB,0800A,0600P,GRAY,0,2004,-,0,,,,,
